"n","tmax","nrun","runtime"
8,100,10,0.539336442947388
8,100,100,1.8961718082428
8,100,1000,6.86463975906372
8,500,10,0.680995941162109
8,500,100,1.20350933074951
8,500,1000,6.67603754997253
8,1000,10,0.813786506652832
8,1000,100,1.61617398262024
8,1000,1000,10.1993124485016
40,100,10,2.37952971458435
40,100,100,2.91528344154358
40,100,1000,10.7706294059753
40,500,10,3.93612170219421
40,500,100,6.45275568962097
40,500,1000,42.4516651630402
40,1000,10,4.02195382118225
40,1000,100,9.82414436340332
40,1000,1000,81.1600871086121
200,100,10,19.7946712970734
200,100,100,34.9412937164307
200,100,1000,136.734892368317
200,500,10,44.7667315006256
200,500,100,73.640656709671
200,500,1000,558.058444976807
200,1000,10,57.0280869007111
200,1000,100,143.816883802414
200,1000,1000,1058.38987183571
1000,100,10,447.189466953278
1000,100,100,776.305202484131
1000,100,1000,4982.80355072021
1000,500,10,884.043382406235
1000,500,100,3824.02010059357
1000,500,1000,30798.6273992062
1000,1000,10,1710.12277650833
1000,1000,100,7639.93895936012
1000,1000,1000,67559.8424813747
